Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75
CMAES,F5,0.632023811340332,"[-1.9068066  -0.69125236 -0.0820281   0.49144202 -0.48986116 -1.09813832
  1.94822901  0.59092159 -0.38171527  1.17563957  0.23078372 -0.52809839
  0.04816158  0.60030617  2.02900045  0.83295244 -0.27848046 -0.23228297
  0.66877923 -0.24676161  0.22877485 -1.07858675  1.03789249  1.69941099
 -0.29054471 -1.3385897  -1.5025948  -0.72615921 -0.20418395 -7.18322463]",506325306.74534845,495727614.35030067,485007941.30260324,469705318.4132255,442142420.7312194,429305786.3515516,410024988.2524713,373896767.1793718,317346341.081547,303691513.96419007,264608785.3186515,197910470.2747927,183705700.20316702,152639947.43061137,129416783.45479609,112261111.05088888,87709835.0481519,77198216.14125235,91921553.03398685,52226396.83064483,64789763.24299443,63625797.47899695,114774935.74575765,80070757.86444591,63574818.31343499,97586314.13390782,131316118.06525975,55602289.222690605,55293440.14848285,39389182.10401777,22821251.312770493,25032351.594527263,21556547.405503623,21602614.969824493,17417480.992469892,9428596.688350905,6104154.102749826,8357096.656536468,7672652.249838375,5712114.6383062145,5693528.416438939,3211996.03746668,2826211.9432063093,2875104.1199604035,3605140.5497514913,2168554.5288419076,2091059.3904473088,1317402.9591779418,1033588.4984447475,411025.23325511586,453214.7862301854,307053.55367084447,326490.82147043553,256111.04502819604,318615.94860457967,340407.961174767,215119.03249173504,187398.67193229074,280148.28449490713,107851.34239374002,125197.19788886,81079.11374827425,104575.06484406638,52036.588262047706,53943.72238314397,42508.33702166577,39368.84105612787,36709.14202041877,24635.052942114642,32741.25698376883,24799.715793009236,13844.253765073721,14959.719216812216,17585.420107646598,14422.40959192931
CMAES,F5,0.6394529342651367,"[-0.04352714  0.22994879  0.18176377  0.98463799  1.58954144 -0.11824322
 -0.47326871  0.30432398  1.14708321 -1.50411508  0.97365243  0.1260889
  1.0494755   0.19146353 -0.02485764 -0.81612561  0.14715673 -0.18496041
 -0.49437917  0.09369133 -0.34769631 -1.22812788  1.51226712  0.34110368
  1.86482924 -0.10777913  1.01936121  2.29794877 -0.67626504 -2.1628628 ]",635387903.3775724,634407731.0875202,619048283.5659833,598916330.2031165,596349083.9043926,575286613.6084329,541794277.8425267,515141891.5420223,483126112.4707996,468593205.4378991,410573183.30864215,387961159.51684207,317547172.4141767,271054076.4167551,240892958.55782548,208056116.64468548,164839858.02960557,112960319.16875552,136525247.1490978,112433141.7062754,95358573.45632902,101687906.45914592,117244223.61257078,88215071.1053397,76484232.49324007,95882528.70294473,52470335.564771585,95695225.8752531,139105343.08067098,69858256.23487094,85760062.759242,58292047.20274247,53300082.17212309,48449426.41864455,24395062.59366742,19959887.594188653,13649130.463448044,26267607.086779907,24717751.317058675,15231530.164501585,8451185.519506468,9087162.467591837,6571943.231300142,1855192.6231598835,4123478.304799662,2318625.8823268525,2662785.670246431,3480165.118540093,2495585.5155576584,1942709.8413814146,1327749.8962538627,945822.7541694287,466617.83437314274,584754.6706340618,502366.30057781294,700896.2039830909,504927.8500610864,387278.0583463814,239508.39240542296,413094.7565256551,165446.83420675198,172187.22407444136,110363.27249595932,136855.9376670475,108979.27058953905,68054.90351200404,64264.53489514277,52357.88695657709,30636.098436759276,29336.788591573455,34547.045292564384,10102.011160948221,20246.10915385273,14488.714701473105,9015.206532221457
CMAES,F5,0.6090641021728516,"[ 0.27667998  1.42573441  0.37656825  0.27578187 -0.02032851  0.16893092
  1.04169614 -0.34105326  0.91888349  1.46702514  1.32042073  0.6802967
  0.8086981  -0.18146526 -1.96405611 -0.1244056   0.11605043 -1.30539396
 -1.12426787 -1.09810721 -1.77132592  1.29446257  0.4534769  -0.19875547
 -0.31998123 -0.29892974 -0.37907783  0.31084913 -0.30828281 -8.12449244]",451580393.52475256,438326414.5157382,420949481.3120703,408121010.83558995,390575994.68417835,373674123.6470286,361141978.8197709,333678093.10303473,304067051.7505115,253035028.51467225,245209944.2151412,221398305.43064418,181294410.8271219,165294462.54321843,144850154.49369615,87415282.97098032,90674269.04444611,89736219.0577879,56885064.049916305,46158624.881079815,55320764.76193704,56861354.43807316,60191079.465126224,50023052.68187303,38894628.410269685,35955039.42069049,37860105.632632956,29370638.09697892,24312089.26885084,25705412.866952557,33340893.332358565,24150202.083546966,13842251.624014037,13298408.484610617,13195318.733768662,8520250.87696642,8657882.80359421,7424449.021516754,3181963.2983991243,4499118.650868048,3280617.273594459,1746922.5658430182,1454438.5306927576,1846332.0050911922,961944.3577320271,563611.1688719204,564368.6985478583,446749.1730446578,574587.833091676,403641.80814526556,238660.64179930076,215717.25326733774,256040.38994383413,191229.57439595566,125033.60198805635,182538.8059461321,81348.62582347154,83324.74446032854,60715.77853631195,103008.24661718939,68647.93920850751,56062.48241159647,37901.16488720117,46339.45468186864,34924.314261900654,34637.51892534994,32182.52192762446,31977.8381782959,23919.98776296816,24119.3701760275,18731.78004902017,16814.207549093517,13051.970727075919,18663.192213852242,12919.404416173245
CMAES,F12,0.8319013118743896,"[-5.20006668  2.89178212  0.21657894 -1.25468088 -0.43375797 -0.32393054
  1.33489241  3.06047118 -0.92931878  0.76448514 -6.44687357  2.27014581
 -0.74989432  1.69165928 -1.5853298   0.05989415 -1.48083069 -3.48386753
 -2.59886924 -2.08602023  3.43591344 -0.55203601  1.30593329  0.92589898
 -1.38941349 -2.33079927 -1.54687273 -1.53647351 -2.859106    1.64734088]",1069109926.4525536,1056180511.037708,1025025856.602099,1011488504.7477924,987228093.4900669,936602058.2994194,924555871.3020263,855836906.2234412,819759357.8007247,721389314.7631657,665785820.9312584,600421221.4038277,572510788.0907774,448010850.95725256,356893371.620385,328066533.04416573,282111265.3481152,187954414.88598907,152492226.93518442,125875108.14044067,133655919.25079244,87491555.1026902,50134274.433365695,48355366.29712645,84277874.41080369,70136852.4282827,233204321.4118965,105460679.80051365,41260883.50822937,62813887.014823504,69743228.99827789,60917390.22270847,75759147.4210947,18571388.21742573,6789867.467255788,20376188.67824168,6464880.110706388,4688233.063101579,3619636.990624205,1413376.4752267993,935522.3166163361,967272.7236238562,193600.83289504473,373986.5849882957,133016.89134461494,34855.55395103643,139554.79223444645,18839.23454554273,2959.4985620019,442.01727106073525,29.87020089553853,43.21150816381294,888.5142234489714,36.99137127516299,37.19502685251504,23.377183583394384,14.64954418760473,15.788549797145382,15.625274402007388,17.74651972140814,9.365051240817124,14.552246531179414,15.324544645490839,10.897603933418589,12.000240499728097,11.02208238743978,9.657072257767988,9.846868011213813,9.088165140092306,8.672859567232665,7.132165413818938,4.655787419083458,7.348185083982201,5.740192071617167,3.9151648233951417
CMAES,F12,0.8170652389526367,"[ 2.36886766 -1.07848811  0.14186589 -5.16474862 -2.72407875 -3.97217463
 -2.3512369  -0.3606874  -2.81105617 -0.31890968 -1.11449579 -0.28530935
  0.11427625 -0.76475216 -3.68458863 -1.15114611  1.10125177 -1.04371775
 -2.2478039   1.63970441 -1.62925954  0.96162143  0.49960779 -4.54855022
  0.55411525 -5.19775037 -3.92026402 -1.34314206 -1.80934241 -3.94628464]",1250500210.0729156,1226490464.4953558,1188904910.8196392,1135930646.531776,1099677048.9763746,1065825738.8096703,1009492386.3567978,920501681.1266698,836031816.5630611,780781609.9316635,703810838.0747772,588813464.1751937,506667705.35554945,445960933.4804038,340366033.8526183,257463639.08859465,247649608.25706282,190446993.86689046,99243995.7508895,89701749.0439858,113153998.17627111,59733557.656029634,24408431.609886147,6588947.592407269,29237445.155470762,47422768.51038965,48953554.58984905,69536520.89036295,192940958.85067293,139405433.50523907,117162221.57515441,85289969.55951181,71261638.33492297,16377707.218302283,20962906.53548876,12836371.555478636,35123110.99246882,5597023.019759229,5388992.88480416,4381639.041579627,556378.2557472266,2679196.3858607966,3018097.665282923,1148952.0695736622,193516.58293382483,150514.34046158846,71860.90923479339,342524.0603385221,8211.7566101084,1378.747823873352,13446.48837286846,15300.76083048993,3870.7835394980743,869.949753899752,57.43037709291956,1080.9553955063916,786.4797201538865,26.071377296239135,18.804104132890508,18.482034193124925,16.807881733944562,16.37958284691885,21.034431376194163,14.69061589997773,9.381009495398674,11.106856518697255,10.262639211584768,6.540586379730316,7.32755269043065,7.880158660655357,6.789543450576134,4.733958964465278,6.475972057539944,4.725084734723246,6.194548767537872
CMAES,F12,0.8118996620178223,"[-0.22542143 -2.42264342 -2.04249991 -1.74335233 -0.29416185 -0.40979387
 -0.27519978 -0.18932497 -3.26168042 -1.1329385  -2.00499113 -3.40113551
 -0.58135306 -0.19666072  0.23061847 -2.20223759 -3.09653289 -2.38030207
 -0.20479063  0.8855948  -3.79598901 -3.38317396  0.02107727 -1.67451585
 -0.56696873  0.55350628 -1.8781735  -2.70709493  1.12137733 -3.13453118]",755031789.735308,736417469.6930318,717691667.4561328,688819880.0724223,666509271.7328281,622629266.49124,581918439.0530586,556287966.460592,488632899.51396716,434977470.64188683,383480152.6555305,324608037.43592787,272665158.82515234,214300093.27451855,162398619.68654412,118000390.73372683,103625245.92806186,41379417.38952291,49160583.80253449,19786300.58519938,63076737.29678853,28309391.465688735,22899486.924609642,28888842.49737372,39863353.8994718,10787850.149958752,27636213.983014576,33439201.55553045,29251881.311459195,10193989.837979324,34057025.488087654,37345713.29694616,23622273.82237775,3622542.7020876682,3786947.5035984996,1281130.658777936,797226.4747006027,165621.7911478143,164260.674905386,4566.752271145851,5141.613126591374,306.51080209282986,6469.715497145912,4034.057600072012,59.91012576238188,45.88801565573053,312.8388554223075,707.062695427379,34.10182178360283,40.472461906206654,28.502632024472067,24.66166761606989,20.23505689180585,11.385253285585085,8.850110568075005,15.790407492019613,11.744626504763312,11.612909735964667,11.427508314624136,7.710175816168283,13.387327866351551,8.536093064937736,7.12033062942398,8.943545552783196,6.569261207520095,6.79748531776479,6.601417435769292,5.408365217002358,6.487393920478378,5.140117439912881,4.131461656372863,3.995102263610717,3.5183509555214183,3.0601007813889365,2.992463269662931
CMAES,F13,0.8966114521026611,"[ 3.98298425 -0.81015921 -1.50719983 -2.75470124 -1.37414648 -1.36805787
  4.05963648 -2.41162885  0.76628323  2.97983739 -1.35988516  1.58770331
  2.69514198  0.99809183  1.26087613  2.31779312  0.71396716  0.66417321
 -0.53603655  1.47325431 -1.59942144  0.59319453  2.17510544  3.93634966
 -0.7055204  -0.19428996 -1.95020276  2.79147401 -2.11445881 -0.35022378]",1957743640.9835212,1938564319.3178182,1887535015.1334622,1843138134.4745998,1794617919.515006,1728534861.6119962,1636343154.896124,1578364187.8045754,1473061513.359185,1433837959.8025591,1282015399.6995082,1233214955.6960459,1085645525.6663787,887242491.8210514,806154539.225093,627365046.5601349,599238249.8611751,512153116.07304764,286443244.8898912,220733775.35748526,162867067.1283778,214231735.54483974,148447718.00720903,169024671.42926902,265367185.41694912,263693559.91026786,225253675.18398225,292901279.7317301,152886345.9379443,163988802.91489336,176438706.82961154,178226045.1160771,41224874.82582094,86824339.15862045,80770770.72283058,73461603.06349334,91094550.86546378,23974009.142682996,21238071.84079145,20183168.852841068,5571584.463965555,4665959.651044268,5245109.853936429,8211983.734494126,1938225.2877442343,3113149.162763792,2690637.378715714,1089364.5309245337,1803219.6688752745,662413.538864419,557497.2015414455,142928.1484537906,212277.6673713091,183144.62950929705,29167.12235640381,42671.76077110809,25639.4054201127,48653.69977198948,16677.652281218474,4448.158689497971,3093.2894189985527,3898.2909986307577,4343.8755571015145,16379.843452158886,2034.5527326023246,386.88430286291566,161.75287790871792,1184.3123836236443,32.740381978516375,33.476980466159645,38.026738900694,28.315919968155203,21.03822001223283,20.676736850673944,18.23650131000019
CMAES,F13,0.8915650844573975,"[-0.23540597  1.05884527  2.44677043 -0.58482051  2.49670123  1.82200932
  0.10486616  4.40758469  1.30985124 -0.1076066  -0.95432364  1.4779899
 -0.31544267  1.53225037  1.86214222 -1.61059328 -0.76841552  1.23467599
  0.47208973  4.65454652  2.95178346  2.84230067  1.26984926  3.88136512
  1.69387844  3.57528865  3.55407239  0.91531402 -0.46201228  2.25473199]",1972316512.9213414,1904202166.6220505,1898257290.3748133,1835599204.8833156,1800816716.482989,1694828902.8821423,1698886399.012224,1594128973.6188333,1486169426.717762,1444911638.4551804,1363751754.385849,1267977800.2019691,1180111411.2026842,1095822425.4939256,876185359.2299137,759990284.5629562,668010712.0206047,427006709.25520587,464325885.767492,324449178.04874533,130634455.1756553,332192945.91679156,273956981.9470161,145942196.8806194,130814485.64864597,122686852.6494439,192568314.68208262,103179239.11252457,82685980.64719038,130207109.48143284,140906734.79880264,133804328.61935678,215893197.73126426,69366717.9462494,142354546.18047193,105662844.2729309,48697032.153935775,47421571.30154137,14679402.103880635,23423500.690201197,7125640.571356897,8381990.41059167,5103180.939776513,1448780.6900185382,2604938.716321887,3506495.102896049,1378784.4416654496,1215195.8637705012,1321915.1484674641,205377.52997223372,323243.2076009314,423104.9826999642,133214.82930121484,116427.73538133423,135596.40839822535,60135.02826297429,2242.949883239766,16939.61720129786,3111.1291491438965,4525.75165040133,465.7661931308596,25.418566040390985,652.0478385670204,280.6082909017518,58.0778306683807,28.896458447420837,28.366441711469772,25.667895884727667,18.8083340737298,15.45016904142335,13.723191027668648,20.54911959531036,15.938189980835412,15.089376794011182,12.61820510169646
CMAES,F13,0.9076597690582275,"[ 5.14955302 -0.96682093  0.96696807 -4.19795104 -0.69323502  0.62564224
  1.53611007 -1.70622409  3.72865026  2.09810683 -2.01905844  1.85224754
 -1.41666701 -0.74772897  0.08726862  2.16108539  3.19955349  0.86206853
  1.32463461  2.44843557  1.61237433 -1.68316031  4.49264523  1.36859289
 -3.02410287 -2.87780234 -2.30734261 -2.26054604  1.1191663   2.71926043]",3275115927.0537057,3261169552.7413783,3178966834.4450526,3128813095.3155065,3129042216.2461743,3074095104.589122,2979511207.7661924,2959847987.3633375,2813265674.7083693,2720556784.0020466,2621071062.0845423,2353702308.0005436,2270202632.3256235,2107040614.982723,1809136850.4203966,1675139867.200707,1471883793.200607,1040057546.1169426,919584873.8118625,817771850.2265537,645359500.618963,547135248.5168099,444387237.5914818,380933344.54647195,315844263.8902415,424525693.1718747,218383746.6831997,323342108.37845856,170402006.57425874,372574302.71938056,291286741.8954211,268099365.13214326,371236221.31113225,474843131.44929695,558182505.7630212,308571334.3670934,217868450.5172482,190771359.38428706,123287348.14448974,42184428.79476693,30752322.11690692,32489970.19913337,71512990.97347453,4646750.259440361,16417734.950327883,11097110.948416658,24896238.74799692,13119528.970267743,10307521.021693615,6843815.3071333775,4125262.7212655395,819061.1477022269,1101536.5628596619,1350321.5752250534,285369.91430056485,364026.894889053,500514.453056643,137877.1426942316,132385.3448936884,412.1612414927492,74924.23934122716,117125.19686739364,36354.11764777198,8877.0448763313,4099.085190770294,749.6571207254514,89.22719212939299,114.38438318314951,262.66129989126955,32.74745165125405,24.325402491674943,63.8026399669149,45.17369087450324,47.67243868011977,31.17267299709897
SSA,F5,3.2767374515533447,"[-2.54627680e+00 -2.31415430e+00  3.56849187e+00 -2.61248085e+00
 -4.05170079e+00 -2.01762762e+00 -3.57290019e+00 -1.22013140e-03
  2.02806445e+00  2.24341712e+00  7.55801140e-01  1.05823668e+00
  2.41198255e+00 -1.43199262e+00 -1.75411234e+00 -1.73801582e+00
 -2.18999550e+00 -1.69608692e-01 -3.28331675e+00 -5.44530715e-01
 -1.88109231e+00  1.08988903e+00 -3.49775792e+00  3.01815055e+00
 -1.24498938e+00  2.90867093e+00  2.63787702e+00  3.11132364e+00
 -8.66822393e-01 -2.02232620e+00]",0.0,20791828.390537072,6413258.627768815,3682810.419178651,2815470.1991332574,2246032.569008131,1797382.720748663,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1478703.2296469747,1348793.242907322,1344865.360731241,1331347.0572221659,1290978.2811875374,1172270.1822896935,801796.3058316152,673873.1222069021,564525.5524816838,430905.28356070456,368302.7281608501,308835.45840909146,288161.97345031693,256356.75373842247,242898.26264810926,225177.7053819393,210145.63375780356,201985.83609169954,192990.76394921835,189512.32256857428,183949.60844037795,181112.03309597593,177669.3606137669,175317.04313387375,173963.08363959935,172666.76372707827,171977.13255167525,171372.17653158563,171090.00428588546,170815.9537095767,170626.27982768798,170510.03532878586,170371.3407957473,170283.21856053584,170213.01572859046,170181.55276705304,170158.4443071523,170142.0405902776,170134.14525445885,170127.35042857652,170120.65903823095,170117.56724179527,170115.17424489863,170113.86971702173,170112.43904398274,170111.53366058733
SSA,F5,3.276186466217041,"[ 2.3718554   0.71950679 -1.92915603 -1.39994922 -1.23161076  1.32691476
  0.82397929  0.470109   -1.16267122  2.37785424  1.76981787  0.53474791
 -0.20885376  2.96133031 -2.33740012  2.1563128  -2.35051164 -1.38528519
 -0.82355131  2.2281049   2.98411735  0.72488768 -1.03263999  2.50116323
 -2.29705074  0.45060548 -1.27761856  2.43779847  0.38561154  0.0903237 ]",0.0,20078113.313689154,4624910.5380427195,1742589.1124628966,1226039.6483958056,1054739.5406663413,966680.0718039138,908742.8473594319,892105.1895515101,880173.9401859306,866143.4230874648,848460.2804932853,826832.7589511047,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,814032.6576534492,486750.6802866108,451532.81303867634,392342.1211813283,278456.37082151184,194759.96377637357,164576.3478022067,138102.89238543858,119031.63703292984,100156.27853397254,88861.90667617944,81408.37621406493,73334.9924121948,66808.85796273011,64377.85398923357,61561.61983666294,60015.34924961969,58568.15314425247,58006.82907740478,57044.413420736746,56484.02795207332,55891.14180540865,55633.907414557114,55374.67821969392,55232.649528493566,55166.60623760367,55060.77987223089,55004.47454679432,54956.2885722905,54925.28356751857,54892.907425474696,54875.87676079185,54867.82233240771,54858.21713181818,54854.83418677556,54850.07087424224,54847.664012500376,54846.15358523552,54845.218484347155,54844.45896300153,54843.92771654111,54843.6422165269
